date,open,high,low,close
2022-02-02 04:20:00,28472.15,28503.72,28472.15,28491.9
2022-02-02 04:21:00,28486.14,28502.17,28485.52,28501.41
2022-02-02 04:23:00,28500.24,28500.24,28495.4,28499.79
2022-02-02 04:24:00,28496.0,28509.62,28491.49,28509.62
2022-02-02 04:25:00,28505.87,28520.06,28505.6,28520.06
2022-02-02 04:26:00,28513.13,28527.61,28511.44,28513.97
2022-02-02 04:27:00,28507.63,28510.07,28499.7,28510.07
2022-02-02 04:28:00,28501.99,28501.99,28479.37,28488.65
2022-02-02 04:29:00,28480.77,28483.54,28467.02,28467.02
2022-02-02 04:30:00,28467.92,28493.72,28465.82,28493.72
2022-02-02 04:31:00,28489.39,28489.39,28423.96,28423.96
2022-02-02 04:32:00,28432.74,28468.07,28432.74,28467.83
2022-02-02 04:34:00,28458.2,28499.62,28456.65,28498.23
2022-02-02 04:35:00,28517.54,28530.55,28516.9,28530.55
2022-02-02 04:36:00,28516.78,28526.98,28516.78,28522.57
2022-02-02 04:37:00,28522.57,28522.57,28522.57,28522.57
2022-02-02 04:38:00,28532.7,28532.7,28523.26,28523.26
2022-02-02 04:39:00,28532.71,28535.59,28518.67,28518.67
2022-02-02 04:40:00,28528.45,28528.45,28516.73,28516.73
2022-02-02 04:41:00,28517.66,28520.42,28515.44,28518.49
2022-02-02 04:42:00,28513.76,28519.5,28482.67,28482.67
2022-02-02 04:43:00,28474.6,28491.91,28474.6,28491.91
2022-02-02 04:44:00,28497.47,28500.99,28484.35,28484.35
2022-02-02 04:45:00,28497.38,28499.53,28473.85,28474.96
2022-02-02 04:46:00,28476.13,28484.43,28464.89,28466.38
2022-02-02 04:47:00,28462.42,28472.4,28457.06,28457.06
2022-02-02 04:48:00,28453.38,28465.22,28453.38,28454.76
2022-02-02 04:49:00,28462.45,28465.26,28456.24,28463.6
2022-02-02 04:50:00,28453.95,28466.49,28453.95,28456.52
2022-02-02 04:51:00,28469.62,28470.56,28459.93,28459.93
2022-02-02 04:52:00,28450.87,28462.04,28450.87,28462.04
2022-02-02 04:53:00,28468.2,28503.1,28468.2,28503.1
2022-02-02 04:54:00,28490.84,28501.44,28490.84,28499.19
2022-02-02 04:55:00,28513.56,28514.08,28513.56,28514.08
2022-02-02 04:56:00,28514.36,28514.36,28503.84,28503.84
2022-02-02 04:57:00,28494.83,28504.9,28494.83,28498.88
2022-02-02 04:58:00,28492.52,28492.52,28463.38,28477.41
2022-02-02 04:59:00,28461.57,28464.02,28440.8,28440.8
2022-02-02 05:00:00,28422.68,28438.63,28422.68,28437.57
2022-02-02 05:01:00,28443.94,28445.21,28432.96,28443.22
2022-02-02 05:02:00,28449.75,28449.75,28433.01,28433.01
2022-02-02 05:04:00,28473.03,28485.74,28471.35,28481.2
2022-02-02 05:05:00,28474.01,28491.06,28474.01,28476.75
2022-02-02 05:06:00,28482.13,28482.13,28481.31,28481.31
2022-02-02 05:07:00,28479.18,28493.32,28479.18,28493.32
2022-02-02 05:08:00,28493.59,28512.22,28490.31,28509.64
2022-02-02 05:09:00,28499.9,28499.9,28482.11,28482.11
2022-02-02 05:10:00,28484.69,28485.83,28476.47,28476.47
2022-02-02 05:11:00,28478.25,28478.25,28472.82,28477.19
2022-02-02 05:12:00,28476.72,28477.17,28459.01,28459.01
2022-02-02 05:14:00,28441.06,28454.0,28438.17,28446.01
2022-02-02 05:15:00,28444.7,28445.22,28433.15,28433.15
2022-02-02 05:16:00,28431.46,28432.15,28403.99,28414.12
2022-02-02 05:17:00,28414.49,28415.5,28407.25,28415.5
2022-02-02 05:18:00,28409.62,28426.89,28388.47,28417.17
2022-02-02 05:19:00,28415.02,28415.02,28402.02,28402.02
2022-02-02 05:20:00,28396.64,28422.38,28396.64,28407.09
2022-02-02 05:21:00,28397.39,28397.39,28361.33,28371.05
2022-02-02 05:22:00,28376.21,28376.21,28357.39,28369.96
2022-02-02 05:23:00,28371.44,28386.64,28365.42,28373.0
2022-02-02 05:24:00,28372.32,28390.08,28368.46,28380.54
2022-02-02 05:25:00,28380.61,28382.08,28356.41,28373.64
2022-02-02 05:26:00,28371.41,28381.9,28371.41,28381.9
2022-02-02 05:27:00,28374.88,28376.72,28374.88,28376.72
2022-02-02 05:28:00,28368.6,28377.54,28367.73,28376.33
2022-02-02 05:29:00,28378.44,28391.66,28368.86,28391.66
2022-02-02 05:30:00,28391.38,28411.95,28387.77,28411.95
2022-02-02 05:31:00,28405.03,28414.46,28380.6,28380.6
2022-02-02 05:32:00,28370.0,28376.59,28364.14,28376.59
2022-02-02 05:33:00,28371.06,28375.52,28359.1,28372.14
2022-02-02 05:34:00,28380.83,28380.84,28369.25,28374.17
2022-02-02 05:35:00,28369.21,28392.67,28365.23,28392.67
2022-02-02 05:36:00,28397.4,28399.37,28389.99,28399.37
2022-02-02 05:37:00,28404.51,28404.51,28396.98,28401.07
2022-02-02 05:38:00,28408.97,28412.94,28404.01,28412.94
2022-02-02 05:39:00,28404.44,28412.05,28404.4,28406.18
2022-02-02 05:40:00,28405.41,28408.83,28399.18,28400.96
2022-02-02 05:41:00,28408.97,28411.81,28403.03,28405.18
2022-02-02 05:42:00,28410.16,28427.9,28383.18,28383.84
2022-02-02 05:43:00,28383.48,28398.1,28373.63,28374.16
2022-02-02 05:44:00,28376.95,28379.83,28369.25,28379.83
2022-02-02 05:45:00,28377.66,28388.46,28371.36,28388.46
2022-02-02 05:46:00,28390.52,28390.52,28388.98,28388.98
2022-02-02 05:47:00,28393.75,28399.9,28384.7,28399.9
2022-02-02 05:48:00,28400.27,28400.27,28383.56,28383.56
2022-02-02 05:49:00,28384.07,28391.12,28377.73,28388.08
2022-02-02 05:50:00,28388.09,28398.33,28388.09,28397.92
2022-02-02 05:51:00,28402.43,28402.43,28397.94,28398.74
2022-02-02 05:52:00,28393.05,28395.88,28389.7,28395.88
2022-02-02 05:53:00,28394.54,28398.37,28394.54,28398.37
2022-02-02 05:54:00,28403.02,28403.02,28397.59,28398.38
2022-02-02 05:55:00,28412.57,28412.57,28400.49,28407.99
2022-02-02 05:56:00,28401.71,28410.46,28396.77,28404.42
2022-02-02 05:57:00,28410.34,28413.91,28398.68,28411.36
2022-02-02 05:58:00,28406.1,28420.59,28406.1,28420.59
2022-02-02 05:59:00,28422.36,28425.32,28422.05,28425.32
2022-02-02 06:00:00,28425.92,28432.04,28425.92,28432.04
2022-02-02 06:01:00,28431.83,28432.04,28410.22,28410.22
2022-02-02 06:02:00,28410.06,28410.06,28403.11,28406.08
2022-02-02 06:03:00,28405.05,28415.69,28405.05,28412.15
2022-02-02 06:05:00,28412.57,28429.11,28412.0,28427.06
2022-02-02 06:06:00,28429.52,28429.52,28417.36,28417.36
2022-02-02 06:07:00,28417.5,28428.56,28408.79,28424.49
2022-02-02 06:08:00,28430.84,28436.44,28430.84,28436.44
2022-02-02 06:09:00,28436.79,28439.41,28429.58,28435.63
2022-02-02 06:10:00,28435.54,28449.65,28434.05,28449.65
2022-02-02 06:11:00,28446.67,28446.67,28434.58,28442.17
2022-02-02 06:12:00,28448.94,28463.29,28447.07,28463.29
2022-02-02 06:13:00,28462.21,28465.01,28445.73,28445.73
2022-02-02 06:14:00,28460.08,28467.93,28458.09,28458.09
2022-02-02 06:15:00,28457.24,28470.99,28457.24,28461.52
2022-02-02 06:17:00,28449.49,28455.53,28442.61,28442.61
2022-02-02 06:18:00,28450.35,28455.14,28450.35,28455.14
2022-02-02 06:19:00,28464.91,28465.69,28454.97,28465.69
2022-02-02 06:20:00,28459.25,28500.0,28459.25,28496.9
2022-02-02 06:21:00,28495.74,28516.16,28495.74,28501.9
2022-02-02 06:22:00,28500.57,28500.57,28479.09,28481.87
2022-02-02 06:24:00,28480.61,28481.82,28457.17,28465.56
2022-02-02 06:25:00,28456.16,28461.44,28450.0,28454.02
2022-02-02 06:26:00,28450.0,28454.03,28435.01,28441.21
2022-02-02 06:27:00,28433.39,28446.37,28432.82,28446.37
2022-02-02 06:28:00,28442.83,28445.09,28432.48,28445.09
